entity_isin,assets_count,priority_assets_count,sensitive_locations,biodiversity_importance,high_ecosystem_integrity,decline_in_ecosystem_integrity,physical_water_risk,ecosystem_services_provision_importance,proximity_to_protected_areas,proximity_to_kbas,species_rarity_weighted_richness,species_threat_abatement,species_threat_abatement_marine,proximity_to_mangroves,ecosystem_integrity_index,biodiversity_intactness_index,ocean_health_index,trend_in_ecosystem_integrity_index,deforestation_hotspots,water_availability,water_pollution,drought,riverine_flood,coastal_flood,cumulative_impact_on_oceans,critical_areas_for_biodiversity_and_ncp,areas_of_importance_for_biodiversity_and_climate
US00166B1052,1,1,0.9078,0.5129,0.3787,0.0414,0.9078,1.0,0.5532,0.0,0.3921,0.0996,1.0,0.0,0.0,0.3787,,0.0414,0.0,1.0,1.0,0.3631,0.6311,0.3263,0.3482,1.0,
US0017441017,1,0,0.4062,0.0634,0.2707,0.4062,0.75,0.264,0.5085,0.0,0.0834,0.0034,0.0,0.0,0.0,0.2707,,0.4062,0.0,0.75,0.75,0.4576,0.2845,0.0,,0.0028,0.5252
US00175J1079,1,0,0.2839,0.0,0.2802,0.0856,0.2839,0.596,0.0,0.0,,0.0007,0.0,0.0,0.0,0.2802,,0.0856,0.0,1.0,0.25,0.2839,0.0167,0.0,,1.0,0.1919
US00181T1079,1,0,0.5656,0.3798,0.2757,0.3055,0.8432,0.5656,0.3031,0.4053,0.2758,0.0008,1.0,0.0,0.0,0.2757,,0.3055,0.0,1.0,1.0,0.367,0.2016,0.001,0.3727,1.0,0.1313
US00182C1036,1,0,0.5,0.0285,0.7521,0.1059,0.5,0.0857,0.2493,0.0,0.0363,0.0052,0.0,0.0,0.0351,0.7521,,0.1059,0.0,0.0,0.5,0.2997,0.5506,0.0,,0.0857,
US00183L1026,1,0,0.2393,0.0435,0.2393,0.0898,0.5,0.0822,0.477,0.0,0.0575,0.0015,0.0,0.0,0.0,0.2393,,0.0898,0.0,1.0,0.5,0.3727,0.0577,0.0,,0.0028,0.1616
US00187Y1001,2,0,0.351,0.0313,0.3283,0.3343,0.7105,0.2709,0.3786,0.0,0.0411,0.002,0.0894,0.0,0.0,0.3283,,0.3343,0.0,0.875,0.75,0.5523,0.4007,0.2084,0.3861,0.1581,0.3838
US00191U1025,1,0,0.4276,0.0323,0.3463,0.026,0.5,0.4276,0.0381,0.0,0.0751,0.0139,0.0149,0.0,0.0,0.3463,,0.026,0.0,0.75,0.5,0.3898,0.0634,0.1499,,0.0675,0.7878
US00206R1023,1710,205,0.4723,0.1474,0.4259,0.1195,0.5466,0.4293,0.3973,0.0479,0.1973,0.06,0.1056,0.0,0.0006,0.4215,0.7025,0.1199,0.0,0.5523,0.629,0.4037,0.2413,0.0703,0.4343,0.3204,0.5985
US0021211018,1,1,0.8601,0.8601,0.2468,0.0128,1.0,0.4245,1.0,0.0,0.4404,1.0,0.1381,0.0,0.0,0.2468,,0.0128,0.0,1.0,1.0,0.3631,0.6311,0.3263,,0.6471,0.202
US00215F1075,1,0,0.4918,0.049,0.4176,0.1495,0.4986,0.4918,0.8646,0.0,0.0596,0.0123,0.0173,0.0,0.0,0.4176,,0.1495,0.0,0.5,1.0,0.2838,0.4157,0.3075,0.4946,0.62,0.3636
US0024741045,1,0,0.2758,0.0763,0.2758,0.1208,0.5,0.2626,0.7972,0.0,0.1013,0.0013,0.0,0.0,0.0,0.2758,,0.1208,0.0,1.0,0.5,0.4558,0.112,0.0,,0.0,0.5252
US00258W1080,1,0,0.4264,0.306,0.3217,0.5017,0.3776,0.4264,1.0,0.0,0.4049,0.0092,0.0,0.0,0.0,0.3217,,0.5017,0.0,0.5,0.25,0.3776,0.0657,0.0,,0.075,0.7777
US0028241000,328,69,0.5018,0.2065,0.3973,0.1627,0.6251,0.4656,0.4242,0.1508,0.2127,0.123,0.0687,0.0,0.0008,0.3906,0.6715,0.1663,0.0,0.5424,0.704,0.5052,0.3373,0.1171,0.4641,0.3953,0.5614
US00287Y1091,120,28,0.4966,0.2222,0.3627,0.1789,0.6482,0.4524,0.4535,0.1789,0.1919,0.1167,0.0713,0.0,0.0004,0.3566,0.6167,0.1863,0.0,0.5099,0.755,0.5416,0.3421,0.094,0.4676,0.3805,0.5397
US0028962076,1,0,0.5,0.0586,0.3862,0.2247,0.5,0.6376,0.5452,0.0,0.078,0.0006,0.0,0.0,0.0,0.3862,,0.2247,0.0,0.5,0.5,0.5019,0.0213,0.0,,0.8105,0.4646
US0036541003,5,2,0.5044,0.3391,0.3689,0.1828,0.5833,0.4003,0.8741,0.2631,0.0971,0.0075,0.0557,0.0,0.0,0.3689,,0.1828,0.0,0.55,1.0,0.4478,0.1898,0.1809,0.4127,0.256,0.5808
US00402L1070,1,0,0.424,0.1763,0.2921,0.0394,0.6068,0.424,0.2889,0.0,0.2149,0.0606,0.0,0.0,0.0,0.2921,,0.0394,0.0,0.5,0.75,0.4366,0.6068,0.0009,,0.05,0.7979
US00404A1097,1,0,0.443,0.2166,0.3852,0.0255,0.443,0.4445,0.286,0.0,0.3545,0.0081,0.0,0.0,0.0,0.3852,,0.0255,0.0,0.25,0.5,0.443,0.2417,0.0,,0.2528,0.6363
US0042251084,1,1,0.8907,0.5706,0.4438,0.2594,0.8907,0.9412,0.72,0.6602,0.3021,0.1949,0.0123,0.0,0.0,0.4438,,0.2594,0.0,1.0,1.0,0.3657,0.5628,0.0202,0.4409,0.9412,
US0042391096,1,0,0.4609,0.1719,0.3646,0.3157,0.5792,0.4609,0.5353,0.0,0.0731,0.1558,0.1773,0.0,0.0,0.3646,,0.3157,0.0,0.0,1.0,0.3004,0.0795,0.0852,0.6721,0.4875,0.4343
US00436Q1067,1,0,0.2679,0.0766,0.2679,0.1695,0.5,0.0062,0.2247,0.0,0.1013,0.0023,0.0,0.0,0.0,0.2679,,0.1695,0.0,1.0,0.5,0.4558,0.112,0.0,,0.0062,
US00437E1029,1,0,0.34,0.1686,0.3037,0.0264,0.34,0.6154,0.8212,0.0,0.1351,0.1797,0.1008,0.0,0.0,0.3037,,0.0264,0.0,0.25,0.75,0.3612,0.236,0.2374,0.2766,0.8571,0.3737
US0044981019,1,0,0.5782,0.8131,0.3071,0.0215,0.5782,0.5235,0.4628,0.0,,1.0,0.8131,0.0,0.0,0.3071,,0.0215,0.0,0.75,0.25,0.3039,0.5782,0.0574,,0.5235,
US00461U1051,1,0,0.5,0.0461,0.4235,0.2078,0.5,0.5665,0.7336,0.0,0.0583,0.0097,0.0,0.0,0.0,0.4235,,0.2078,0.0,0.5,1.0,0.3716,0.0541,0.0,,0.325,0.808
