entity_isin,country_code,assets_count,percentage_of_assets_in_country
AT0000937503,RUS,1,0.012048192771084338
AT0000937503,SAU,1,0.012048192771084338
AT0000937503,SGP,1,0.012048192771084338
AT0000937503,SRB,1,0.012048192771084338
AT0000937503,SVK,1,0.012048192771084338
AT0000937503,SVN,1,0.012048192771084338
AT0000937503,SWE,1,0.012048192771084338
AT0000937503,THA,1,0.012048192771084338
AT0000937503,TUR,1,0.012048192771084338
AT0000937503,TWN,1,0.012048192771084338
AT0000937503,USA,13,0.1566265060240964
AT0000937503,ZAF,1,0.012048192771084338
AU000000ABC7,AUS,7,1.0
AU000000AGL7,AUS,19,1.0
AU000000ALL7,AUS,4,0.36363636363636365
AU000000ALL7,MEX,1,0.09090909090909091
AU000000ALL7,NZL,2,0.18181818181818182
AU000000ALL7,USA,4,0.36363636363636365
AU000000ALQ6,CHE,1,1.0
AU000000ANZ3,AUS,280,0.775623268698061
AU000000ANZ3,CHN,2,0.00554016620498615
AU000000ANZ3,DEU,1,0.002770083102493075
AU000000ANZ3,FRA,1,0.002770083102493075
AU000000ANZ3,GBR,1,0.002770083102493075
AU000000ANZ3,IND,1,0.002770083102493075
AU000000ANZ3,JPN,1,0.002770083102493075
AU000000ANZ3,KOR,1,0.002770083102493075
AU000000ANZ3,LAO,1,0.002770083102493075
AU000000ANZ3,MYS,1,0.002770083102493075
AU000000ANZ3,NZL,52,0.1440443213296399
AU000000ANZ3,PHL,2,0.00554016620498615
AU000000ANZ3,PNG,2,0.00554016620498615
AU000000ANZ3,SGP,2,0.00554016620498615
AU000000ANZ3,SLB,1,0.002770083102493075
AU000000ANZ3,THA,2,0.00554016620498615
AU000000ANZ3,TLS,1,0.002770083102493075
AU000000ANZ3,TON,1,0.002770083102493075
AU000000ANZ3,TWN,2,0.00554016620498615
AU000000ANZ3,USA,2,0.00554016620498615
AU000000ANZ3,VNM,1,0.002770083102493075
AU000000ANZ3,VUT,2,0.00554016620498615
AU000000ANZ3,WSM,1,0.002770083102493075
AU000000APA1,AUS,21,1.0
AU000000APT1,AUS,2,0.6666666666666666
AU000000APT1,USA,1,0.3333333333333333
AU000000ASB3,AUS,1,1.0
AU000000AST5,AUS,2,1.0
AU000000ASX7,AUS,4,0.5714285714285714
AU000000ASX7,CHN,1,0.14285714285714285
AU000000ASX7,NZL,2,0.2857142857142857
AU000000AUB9,AUS,1,1.0
AU000000AWC3,AUS,3,0.75
AU000000AWC3,GIN,1,0.25
AU000000AX19,AUS,1,1.0
AU000000AZJ1,AUS,7,1.0
AU000000BAP9,AUS,1,1.0
AU000000BEN6,AUS,1,1.0
AU000000BGA8,AUS,1,1.0
AU000000BHP4,AUS,42,0.5753424657534246
AU000000BHP4,CAN,3,0.0410958904109589
AU000000BHP4,CHL,4,0.0547945205479452
AU000000BHP4,CHN,1,0.0136986301369863
AU000000BHP4,COL,2,0.0273972602739726
AU000000BHP4,ECU,1,0.0136986301369863
AU000000BHP4,GBR,1,0.0136986301369863
AU000000BHP4,IND,2,0.0273972602739726
AU000000BHP4,JPN,1,0.0136986301369863
AU000000BHP4,MYS,2,0.0273972602739726
AU000000BHP4,PER,2,0.0273972602739726
AU000000BHP4,PHL,1,0.0136986301369863
AU000000BHP4,SGP,3,0.0410958904109589
AU000000BHP4,TTO,1,0.0136986301369863
AU000000BHP4,USA,7,0.0958904109589041
AU000000BKL7,AUS,1,1.0
AU000000BKW4,AUS,1,1.0
AU000000BLD2,AUS,10,1.0
AU000000BOE4,AUS,2,1.0
AU000000BOQ8,AUS,1,1.0
AU000000BPT9,AUS,1,0.5
AU000000BPT9,USA,1,0.5
AU000000BRG2,AUS,2,1.0
AU000000BSL0,AUS,28,0.5957446808510638
AU000000BSL0,CHN,1,0.02127659574468085
AU000000BSL0,FRA,1,0.02127659574468085
AU000000BSL0,IDN,1,0.02127659574468085
AU000000BSL0,IND,1,0.02127659574468085
AU000000BSL0,JPN,1,0.02127659574468085
AU000000BSL0,LKA,1,0.02127659574468085
AU000000BSL0,MYS,2,0.0425531914893617
AU000000BSL0,NZL,1,0.02127659574468085
AU000000BSL0,PHL,1,0.02127659574468085
AU000000BSL0,SGP,2,0.0425531914893617
AU000000BSL0,THA,2,0.0425531914893617
AU000000BSL0,USA,2,0.0425531914893617
AU000000BSL0,VNM,1,0.02127659574468085
AU000000BSL0,VUT,1,0.02127659574468085
AU000000BSL0,ZAF,1,0.02127659574468085
AU000000BWP3,AUS,1,1.0
AU000000BXB1,ARE,1,0.016666666666666666
AU000000BXB1,AUS,2,0.03333333333333333
AU000000BXB1,BGR,1,0.016666666666666666
AU000000BXB1,CAN,8,0.13333333333333333
AU000000BXB1,CZE,1,0.016666666666666666
AU000000BXB1,DEU,1,0.016666666666666666
AU000000BXB1,ESP,1,0.016666666666666666
AU000000BXB1,GBR,5,0.08333333333333333
AU000000BXB1,IRL,1,0.016666666666666666
AU000000BXB1,MYS,1,0.016666666666666666
AU000000BXB1,NZL,1,0.016666666666666666
AU000000BXB1,THA,1,0.016666666666666666
AU000000BXB1,USA,34,0.5666666666666667
AU000000BXB1,ZAF,2,0.03333333333333333
AU000000CAR3,AUS,1,1.0
AU000000CBA7,AUS,119,0.9015151515151515
AU000000CBA7,CHN,3,0.022727272727272728
AU000000CBA7,GBR,1,0.007575757575757576
AU000000CBA7,IDN,1,0.007575757575757576
AU000000CBA7,JPN,1,0.007575757575757576
AU000000CBA7,NLD,1,0.007575757575757576
AU000000CBA7,NZL,1,0.007575757575757576
AU000000CBA7,SGP,1,0.007575757575757576
AU000000CBA7,USA,4,0.030303030303030304
AU000000CDA3,AUS,1,1.0
AU000000CGC2,AUS,1,1.0
AU000000CGF5,AUS,1,1.0
AU000000CHC0,AUS,1,1.0
AU000000CHN7,AUS,1,1.0
AU000000CIA2,AUS,1,0.5
AU000000CIA2,CAN,1,0.5
AU000000CIP0,AUS,2,1.0
AU000000CKF7,AUS,1,1.0
AU000000CLW0,AUS,1,1.0
AU000000CMM9,AUS,3,1.0
AU000000CMW8,AUS,1,1.0
AU000000CNI5,AUS,2,1.0
AU000000COH5,ARE,1,0.03571428571428571
AU000000COH5,AUS,5,0.17857142857142858
AU000000COH5,AUT,1,0.03571428571428571
AU000000COH5,BEL,1,0.03571428571428571
AU000000COH5,CAN,1,0.03571428571428571
AU000000COH5,CHE,1,0.03571428571428571
AU000000COH5,CHN,3,0.10714285714285714
AU000000COH5,CZE,1,0.03571428571428571
AU000000COH5,FIN,1,0.03571428571428571
AU000000COH5,FRA,1,0.03571428571428571
AU000000COH5,GBR,1,0.03571428571428571
AU000000COH5,IRN,1,0.03571428571428571
AU000000COH5,ITA,1,0.03571428571428571
AU000000COH5,JPN,1,0.03571428571428571
AU000000COH5,NOR,1,0.03571428571428571
AU000000COH5,NZL,1,0.03571428571428571
AU000000COH5,SGP,1,0.03571428571428571
AU000000COH5,SWE,1,0.03571428571428571
AU000000COH5,TUR,1,0.03571428571428571
AU000000COH5,USA,3,0.10714285714285714
AU000000CPU5,AUS,9,0.14285714285714285
AU000000CPU5,CAN,8,0.12698412698412698
AU000000CPU5,CHE,3,0.047619047619047616
AU000000CPU5,CHN,5,0.07936507936507936
AU000000CPU5,DEU,5,0.07936507936507936
AU000000CPU5,DNK,1,0.015873015873015872
AU000000CPU5,ESP,2,0.031746031746031744
AU000000CPU5,GBR,7,0.1111111111111111
AU000000CPU5,IND,2,0.031746031746031744
AU000000CPU5,IRL,2,0.031746031746031744
AU000000CPU5,ITA,3,0.047619047619047616
AU000000CPU5,NLD,1,0.015873015873015872
AU000000CPU5,NOR,1,0.015873015873015872
AU000000CPU5,NZL,1,0.015873015873015872
AU000000CPU5,POL,1,0.015873015873015872
AU000000CPU5,SWE,1,0.015873015873015872
AU000000CPU5,USA,10,0.15873015873015872
AU000000CPU5,ZAF,1,0.015873015873015872
AU000000CQR9,AUS,1,1.0
AU000000CSL8,AUS,1,1.0
AU000000CSR5,AUS,1,1.0
AU000000CTD3,AUS,1,1.0
AU000000CUV3,AUS,1,1.0
AU000000CWN6,AUS,3,1.0
AU000000CWY3,AUS,1,1.0
AU000000CXO2,AUS,2,1.0
AU000000DEG6,AUS,1,1.0
AU000000DMP0,ALB,1,0.00030349013657056146
AU000000DMP0,AUS,589,0.1787556904400607
AU000000DMP0,AZE,1,0.00030349013657056146
AU000000DMP0,CAN,16,0.004855842185128983
AU000000DMP0,CZE,1,0.00030349013657056146
AU000000DMP0,DEU,1,0.00030349013657056146
AU000000DMP0,FRA,1,0.00030349013657056146
AU000000DMP0,GBR,10,0.0030349013657056147
AU000000DMP0,LCA,1,0.00030349013657056146
AU000000DMP0,MLT,2,0.0006069802731411229
AU000000DMP0,NZL,60,0.018209408194233688
AU000000DMP0,SGP,1,0.00030349013657056146
AU000000DMP0,USA,2611,0.792412746585736
AU000000DOW2,AUS,3,0.75
